equipamento_id,tempo_operacao_horas,tipo_combustivel,turno_trabalho,regiao_instalacao,temperatura_celsius,vibracao_mm_s,pressao_psi,dias_desde_ultima_revisao,historico_falhas_anteriores,ruido_frequencia_hz,tag_rfid_inventario,firmware_serial_hash,falha_maquina
EQP-32299,5669.7,Eletrico,Noite,Sul,91.0,1.48,119.1,121,1,105.99,733169,FW-71E14,1
EQP-32300,12938.4,Gas_Natural,Noite,Sul,78.9,3.99,101.4,158,1,-49.88,765089,FW-62569,1
EQP-32301,1048.2,Eletrico,Manha,Norte,72.3,5.7,98.0,200,0,-55.24,396853,FW-A756F,1
EQP-32302,3993.3,Eletrico,Manha,Leste,81.3,4.22,98.0,20,0,0.02,215657,FW-EE9CC,1
EQP-32303,2736.9,Gas_Natural,Tarde,Oeste,112.0,0.89,121.6,146,0,-26.81,765431,FW-51EFE,1
EQP-32304,12192.0,Eletrico,Tarde,Leste,97.8,12.95,100.2,185,2,10.63,680492,FW-7079A,1
EQP-32305,13513.7,Diesel,Tarde,Sul,91.7,0.9,82.8,49,1,38.91,904373,FW-417E4,1
EQP-32306,12656.6, DIESEL ,Manha,Sul,54.6,2.7,83.4,68,0,-40.32,512245,FW-29117,1
EQP-32307,11032.1, DIESEL ,Tarde,Sul,78.9,0.67,65.3,10,0,65.1,120262,FW-60CB2,1
EQP-32308,2697.4,Eletrico,Manha,Leste,101.9,1.49,90.1,146,3,6.15,806678,FW-DF87D,1
EQP-32309,10130.1,Gas_Natural,Noite,Sul,69.1,4.78,112.7,67,0,-2.81,919437,FW-D1932,0
EQP-32310,,Eletrico,Tarde,Sul,87.4,13.53,100.9,182,1,31.97,140392,FW-5D44B,1
EQP-32311,1569.9,diesel,Tarde,Sul,101.5,6.85,110.7,139,0,-26.88,400185,FW-4D82C,1
EQP-32312,3836.4,Eletrico,Manha,Sul,59.9,4.13,93.6,14,0,45.94,283060,FW-CA6B0,0
EQP-32313,6283.9,Diesel,Tarde,Norte,84.5,3.32,90.7,44,0,30.47,740158,FW-7B39A,1
EQP-32314,1538.1, DIESEL ,Tarde,Norte,94.9,3.1,105.5,311,1,-15.99,476694,FW-BA5A6,1
EQP-32315,10374.1,Diesel,Tarde,Oeste,97.9,2.54,93.0,83,0,98.6,327090,FW-D903C,1
EQP-32316,8593.8,Gas_Natural,Manha,Leste,73.5,5.51,66.5,321,1,-1.62,976014,FW-7AF9A,1
EQP-32317,5733.3,Hibrido,Manha,Leste,88.8,1.33,73.1,350,2,-57.98,974554,FW-2CDE6,1
EQP-32318,4025.8, DIESEL ,Manha,Sul,74.6,1.98,124.4,120,0,-64.91,754848,FW-68AEC,1
EQP-32319,11141.2,Eletrico,Manha,Leste,51.0,8.76,77.9,340,0,-53.76,462715,FW-9DC86,1
EQP-32320,8851.3,Diesel,Tarde,Leste,86.8,1.36,103.8,114,2,-90.49,602192,FW-88546,1
EQP-32321,14844.2,Diesel,Noite,Leste,90.3,3.63,89.0,322,0,-43.07,363923,FW-9C831,1
EQP-32322,,Diesel,Tarde,Leste,110.6,1.82,99.5,209,0,41.85,235405,FW-D2436,1
EQP-32323,6075.5,Eletrico,Tarde,Leste,63.8,18.61,118.6,332,0,-5.17,748790,FW-C9E3E,1
EQP-32324,1216.9,Diesel,Tarde,Norte,86.2,4.61,85.9,306,2,5.11,815002,FW-D477F,1
EQP-32325,9736.3,diesel,Tarde,Oeste,81.9,6.24,131.3,175,0,62.78,347097,FW-E6EF7,1
EQP-32326,8361.8, DIESEL ,Manha,Leste,63.4,0.7,110.7,9,1,-19.28,691298,FW-4A7FA,0
EQP-32327,8664.6,Eletrico,Tarde,Oeste,83.9,,125.0,153,0,-10.11,814920,FW-954A4,1
EQP-32328,10254.1,Diesel,Tarde,Sul,54.3,3.31,81.8,73,1,31.8,596223,FW-46326,1
EQP-32329,6540.9,Diesel,Manha,Norte,87.5,11.09,84.8,296,0,-39.92,607527,FW-8281E,1
EQP-32330,5158.8, DIESEL ,Tarde,Leste,49.1,1.14,121.2,160,4,14.27,373737,FW-18B20,1
EQP-32331,10607.4,Hibrido,Tarde,Norte,85.3,3.87,106.8,351,1,14.12,215882,FW-83FD7,1
EQP-32332,6915.6,Hibrido,Manha,Norte,37.6,3.91,117.4,362,0,36.51,322971,FW-C9AB8,1
EQP-32333,8116.9,diesel,Noite,Sul,86.8,2.97,103.5,309,1,-30.86,778586,FW-53B4B,1
EQP-32334,2581.7,Diesel,Manha,Sul,88.5,4.03,119.0,317,1,27.41,792110,FW-8300E,1
EQP-32335,2729.4, DIESEL ,Tarde,Leste,36.0,6.38,91.8,264,5,-59.36,578242,FW-6640B,1
EQP-32336,14588.3, DIESEL ,Manha,Sul,104.5,7.18,104.2,147,0,-11.68,518339,FW-D4D4A,1
EQP-32337,1561.2,Eletrico,Noite,Oeste,97.0,6.48,100.4,300,2,65.69,547095,FW-52BA7,1
EQP-32338,9726.0,Diesel,Manha,Leste,77.4,,112.7,165,2,-22.67,149892,FW-471BB,1
EQP-32339,5225.3,Diesel,Manha,Sul,57.2,2.56,103.2,2,1,59.41,249298,FW-3ABB2,1
EQP-32340,1901.4, DIESEL ,Noite,Norte,53.7,2.73,92.0,2,0,18.16,251523,FW-38F28,0
EQP-32341,9453.6,Eletrico,Manha,Norte,100.8,7.99,87.5,43,1,-1.73,155825,FW-9C455,1
EQP-32342,7203.3,Eletrico,Noite,Leste,96.0,,92.2,121,3,-34.18,116910,FW-D7AAC,1
EQP-32343,9770.7,Gas_Natural,Tarde,Norte,92.7,4.86,85.5,95,2,48.38,326862,FW-599B2,1
EQP-32344,2773.0,Eletrico,Tarde,Norte,68.3,4.97,112.3,28,2,-53.24,286186,FW-5126D,1
EQP-32345,12237.6,Eletrico,Manha,Leste,74.2,10.48,117.7,38,1,32.21,193436,FW-30D9E,1
EQP-32346,6918.8,diesel,Manha,Leste,48.0,5.09,99.1,312,0,44.59,361198,FW-62588,1
EQP-32347,221.1,Hibrido,Manha,Sul,92.9,1.87,117.7,270,0,18.44,612874,FW-6C8C6,1
EQP-32348,5782.5, DIESEL ,Noite,Sul,56.9,9.65,102.4,362,3,1.24,208744,FW-75C55,1
EQP-32349,1563.2,Eletrico,Manha,Sul,67.0,1.29,113.8,264,1,-25.37,904966,FW-3E53F,1
EQP-32350,5679.6,Eletrico,Manha,Sul,53.4,12.99,94.2,292,0,-8.75,404555,FW-482A5,1
EQP-32351,4641.1,Eletrico,Manha,Oeste,85.3,1.49,122.0,298,0,-43.52,607206,FW-A2F90,1
EQP-32352,13791.0,Eletrico,Manha,Sul,72.6,4.34,90.2,107,2,33.66,940698,FW-762CC,1
EQP-32353,8926.6,Eletrico,Noite,Norte,61.8,9.07,123.6,358,1,-14.35,973771,FW-45E3F,1
EQP-32354,4510.8,Diesel,Manha,Sul,83.0,1.71,105.9,261,0,-27.43,718331,FW-1D8D8,1
EQP-32355,8097.0,Eletrico,Manha,Sul,87.7,5.65,109.4,321,0,-34.89,830702,FW-6DCD3,1
EQP-32356,12133.5,Diesel,Manha,Leste,80.8,3.3,96.5,239,0,-1.82,485590,FW-F1AD6,1
EQP-32357,504.3,Hibrido,Manha,Leste,58.9,,89.0,226,0,-22.59,312994,FW-E2102,0
EQP-32358,5354.4,Diesel,Noite,Leste,74.9,1.4,95.9,211,2,-81.57,649344,FW-F294F,1
EQP-32359,13177.1,diesel,Tarde,Norte,45.2,,111.2,265,0,-7.21,873957,FW-4FA9F,1
EQP-32360,13027.9,Hibrido,Manha,Sul,74.5,1.48,107.1,179,1,41.76,996609,FW-1EB1A,1
EQP-32361,1811.4,Diesel,Manha,Leste,78.7,2.33,108.3,148,0,25.42,164334,FW-B2C4B,0
EQP-32362,9363.9,diesel,Manha,Norte,102.2,4.21,101.7,45,1,-1.19,297050,FW-483A4,1
EQP-32363,11123.9,Diesel,Tarde,Norte,86.1,1.51,119.0,15,0,-18.37,140960,FW-A22A7,1
EQP-32364,452.1,Diesel,Manha,Leste,62.3,1.54,97.4,311,1,-52.46,592958,FW-26C4F,1
EQP-32365,,diesel,Tarde,Norte,76.5,,113.4,171,1,47.54,671615,FW-6A94D,1
EQP-32366,14293.8,Diesel,Tarde,Oeste,101.4,2.03,109.7,104,1,36.61,288579,FW-8E77B,1
EQP-32367,4879.7,Diesel,Manha,Norte,84.0,2.58,90.7,224,0,3.17,746618,FW-A36DA,1
EQP-32368,13482.3,Hibrido,Manha,Sul,61.4,1.56,127.0,290,0,-18.8,768351,FW-965AF,1
EQP-32369,11556.9,diesel,Manha,Sul,95.0,9.49,106.7,213,1,-53.45,837413,FW-6EB67,1
EQP-32370,4365.4,diesel,Manha,Norte,55.3,2.53,103.7,308,0,9.25,510747,FW-B5139,1
EQP-32371,8076.7,Eletrico,Manha,Oeste,94.3,7.59,124.1,146,1,44.4,928392,FW-E8060,1
EQP-32372,13627.6,Eletrico,Tarde,Oeste,51.7,,104.7,11,0,27.34,486674,FW-8F395,1
EQP-32373,5523.2,Diesel,Noite,Leste,72.3,0.76,100.3,35,3,20.25,307406,FW-764D0,1
EQP-32374,4984.9, DIESEL ,Manha,Sul,70.9,1.3,71.5,225,0,4.03,657070,FW-3786B,1
EQP-32375,8830.9,Diesel,Manha,Leste,70.4,20.2,111.6,302,3,-57.43,606447,FW-BA707,1
EQP-32376,10755.3, DIESEL ,Manha,Norte,58.2,1.85,113.3,321,0,33.12,651503,FW-C72E3,1
EQP-32377,,Hibrido,Tarde,Sul,85.9,10.71,106.7,349,0,-5.07,947538,FW-F0F70,1
EQP-32378,6318.9,Eletrico,Tarde,Sul,86.2,7.09,93.9,155,1,-14.55,515407,FW-41026,1
EQP-32379,8141.4,Diesel,Manha,Oeste,88.3,7.22,84.7,38,1,-43.29,556339,FW-EB548,1
EQP-32380,12461.1,Hibrido,Manha,Leste,83.8,9.12,93.3,207,2,-15.76,746980,FW-CBBD2,1
EQP-32381,549.8, DIESEL ,Tarde,Oeste,73.3,4.86,75.0,14,1,-20.34,345370,FW-8EECC,1
EQP-32382,10689.4,Hibrido,Noite,Oeste,83.9,4.79,93.3,114,4,-6.22,725455,FW-402D5,1
EQP-32383,,Eletrico,Tarde,Leste,66.9,6.2,114.9,101,2,40.08,806047,FW-8C4F5,1
EQP-32384,10561.2,Eletrico,Tarde,Leste,54.2,2.89,101.7,260,1,-43.82,896274,FW-CFFC3,1
EQP-32385,9075.1,Diesel,Manha,Leste,71.2,17.97,102.8,150,0,-26.21,576611,FW-53898,1
EQP-32386,5993.9,diesel,Manha,Sul,65.0,2.96,103.3,273,1,-12.16,218873,FW-3C2E4,1
EQP-32387,13992.1,diesel,Tarde,Leste,58.2,1.3,99.5,58,0,-32.52,411437,FW-36D2B,1
EQP-32388,975.1,Eletrico,Manha,Oeste,62.1,,80.4,48,0,-26.99,110289,FW-F3EB2,1
EQP-32389,5045.9,diesel,Noite,Leste,81.1,3.15,65.7,267,0,4.95,981277,FW-2BC78,1
EQP-32390,2701.0,diesel,Tarde,Oeste,97.5,4.5,100.2,202,1,33.58,417204,FW-64658,1
EQP-32391,11778.6,Diesel,Noite,Norte,74.8,1.24,95.7,1,0,14.39,641386,FW-E9D0A,0
EQP-32392,10201.5,Eletrico,Tarde,Oeste,65.3,7.98,90.8,50,1,42.91,748500,FW-ACA4B,1
EQP-32393,7096.9,Diesel,Manha,Norte,63.3,7.78,106.9,323,0,2.12,581367,FW-89265,1
EQP-32394,7220.2,Diesel,Noite,Sul,83.3,5.22,114.4,295,1,-29.8,306684,FW-325DB,1
EQP-32395,6371.4,Hibrido,Tarde,Sul,71.6,1.86,76.0,145,0,-7.21,766936,FW-81312,1
EQP-32396,4881.2, DIESEL ,Tarde,Oeste,93.6,2.59,91.3,208,0,-23.19,982913,FW-31A1F,1
EQP-32397,8092.2,Gas_Natural,Manha,Norte,55.1,2.48,122.7,111,1,40.28,560351,FW-56EE1,1
EQP-32398,12158.0,Gas_Natural,Manha,Leste,87.4,6.46,89.3,30,3,29.02,394008,FW-24DC4,1
EQP-32399,3202.9,Diesel,Tarde,Sul,49.5,14.6,117.8,319,0,17.15,331660,FW-7CC97,1
EQP-32400,2755.2,Gas_Natural,Noite,Oeste,96.5,3.74,104.7,183,0,-62.36,246868,FW-5D224,0
EQP-32401,11678.1,Hibrido,Tarde,Norte,69.5,7.46,89.8,343,1,38.44,455794,FW-CE056,1
EQP-32402,10052.4,diesel,Tarde,Sul,80.5,4.21,93.6,145,0,3.42,601087,FW-C52CE,1
EQP-32403,9856.1, DIESEL ,Manha,Norte,74.4,0.75,66.2,207,0,-30.07,327454,FW-DE53B,1
EQP-32404,6443.6,Diesel,Tarde,Sul,63.4,0.51,76.9,347,0,-6.47,306700,FW-6E98B,1
EQP-32405,13056.9,Hibrido,Tarde,Leste,107.0,3.26,70.7,355,2,39.37,663645,FW-A21EE,1
EQP-32406,5975.9,Eletrico,Manha,Norte,40.8,10.83,80.3,80,1,40.01,762135,FW-40B20,1
EQP-32407,6161.0,Diesel,Manha,Norte,105.9,3.65,109.3,211,1,4.42,250007,FW-E5116,1
EQP-32408,5352.5, DIESEL ,Tarde,Oeste,71.1,4.53,91.9,169,0,-44.61,958249,FW-E7DC7,1
EQP-32409,1108.2,Eletrico,Manha,Leste,87.1,,91.3,328,0,18.56,757913,FW-99BF2,1
EQP-32410,8647.4,Eletrico,Noite,Oeste,88.8,2.13,115.5,152,0,-67.58,858031,FW-BADB5,1
EQP-32411,7592.6, DIESEL ,Manha,Sul,117.6,15.5,104.7,66,0,11.68,945304,FW-2792F,1
EQP-32412,6488.6,Eletrico,Manha,Norte,76.7,0.81,115.0,330,1,36.41,600428,FW-AAE45,1
EQP-32413,6407.7,Eletrico,Manha,Norte,79.9,1.35,89.7,339,0,-31.79,270553,FW-9EFFB,1
EQP-32414,,Diesel,Manha,Norte,83.8,9.42,79.7,18,2,53.68,944345,FW-55126,1
EQP-32415,14282.4,Gas_Natural,Manha,Sul,55.1,11.63,101.6,17,0,28.82,620542,FW-F36F8,1
EQP-32416,9850.9,Eletrico,Tarde,Oeste,51.9,0.73,93.0,169,0,-23.05,937881,FW-BEC63,1
EQP-32417,,Diesel,Tarde,Leste,49.6,5.07,82.4,85,1,18.01,231262,FW-C121D,0
EQP-32418,14189.4,Hibrido,Tarde,Oeste,51.0,1.33,134.3,342,1,9.53,836560,FW-93746,1
EQP-32419,4168.7,Gas_Natural,Manha,Oeste,84.0,,100.9,37,1,-42.23,997626,FW-E8E39,1
EQP-32420,13649.5,Eletrico,Noite,Leste,86.5,4.86,93.6,19,1,-18.32,529259,FW-5F733,1
EQP-32421,3324.0,Diesel,Tarde,Sul,68.0,0.51,100.2,73,1,-2.21,957322,FW-C519B,0
EQP-32422,1039.8,diesel,Noite,Sul,63.2,4.96,82.8,278,1,-40.74,559898,FW-7F2FC,1
EQP-32423,943.6,Eletrico,Manha,Oeste,65.2,5.54,110.9,216,1,5.19,185507,FW-4CE79,0
EQP-32424,4113.2,Eletrico,Manha,Leste,73.1,2.26,66.8,350,1,1.52,519997,FW-F186C,0
EQP-32425,4876.8, DIESEL ,Manha,Sul,76.2,4.1,97.1,344,3,-25.83,624030,FW-48F68,1
EQP-32426,4393.0,Eletrico,Tarde,Oeste,54.7,4.63,83.8,273,0,-56.5,167735,FW-40B2A,1
EQP-32427,2919.8,Gas_Natural,Noite,Norte,69.5,2.69,95.4,25,1,42.08,799378,FW-C48DD,0
EQP-32428,4655.7,Eletrico,Manha,Oeste,92.9,13.23,110.6,304,1,-9.34,933742,FW-333AB,1
EQP-32429,14193.8,Gas_Natural,Noite,Sul,56.5,7.32,90.2,353,0,-50.23,438382,FW-5683B,1
EQP-32430,4042.0, DIESEL ,Noite,Leste,77.6,0.56,109.0,243,1,12.32,586515,FW-735CF,1
EQP-32431,7042.3,Hibrido,Manha,Leste,59.5,7.31,64.4,183,0,23.59,792781,FW-C4173,1
EQP-32432,10826.8,diesel,Noite,Sul,79.2,7.1,113.8,197,0,0.83,293736,FW-BC881,1
EQP-32433,9505.6,Gas_Natural,Tarde,Norte,73.9,2.04,106.1,10,1,72.32,158060,FW-808BE,0
EQP-32434,6043.4,Diesel,Tarde,Oeste,86.2,5.06,117.8,60,0,0.15,660522,FW-C486D,1
EQP-32435,13620.2,diesel,Noite,Norte,100.1,16.8,104.8,173,1,22.56,379789,FW-A7150,1
EQP-32436,801.4,diesel,Noite,Norte,87.0,2.06,59.3,3,1,-48.79,198609,FW-98202,0
EQP-32437,2699.5,Diesel,Manha,Sul,80.0,2.19,100.7,342,2,21.11,950499,FW-33C6B,1
EQP-32438,13263.1,Eletrico,Manha,Sul,57.5,2.96,106.8,363,0,23.81,480104,FW-6AA0D,1
EQP-32439,2514.2, DIESEL ,Manha,Norte,68.3,9.98,108.5,351,0,-24.19,379624,FW-F3EBE,1
EQP-32440,3101.2,Eletrico,Noite,Oeste,58.1,0.52,123.6,191,0,-25.48,870274,FW-99FE0,0
EQP-32441,8889.9,diesel,Manha,Norte,60.7,0.85,87.1,23,0,22.97,522608,FW-F33AA,0
EQP-32442,3119.1,Eletrico,Manha,Sul,80.4,4.99,78.2,258,0,40.26,406393,FW-C8236,1
EQP-32443,3880.4,Diesel,Manha,Norte,76.9,1.19,102.2,89,2,60.56,241905,FW-5AC50,1
EQP-32444,12789.9,Eletrico,Manha,Norte,60.1,12.19,95.5,274,0,9.39,615436,FW-37D03,1
EQP-32445,11077.8,Diesel,Noite,Norte,55.4,1.86,92.7,127,0,18.73,189117,FW-B249B,0
EQP-32446,5370.0,Diesel,Manha,Leste,107.0,1.61,99.5,112,1,-59.34,483800,FW-E4A27,1
EQP-32447,9312.5,diesel,Manha,Leste,82.6,1.06,93.0,304,3,-37.76,693804,FW-8CF05,1
EQP-32448,11424.3,diesel,Noite,Sul,96.5,16.75,99.1,195,0,-0.14,395257,FW-61B92,1
EQP-32449,9060.8,Diesel,Tarde,Sul,108.5,3.22,123.4,23,1,-3.97,101418,FW-8660C,1
EQP-32450,999999.0,diesel,Tarde,Leste,45.7,7.79,110.4,98,0,-14.9,406978,FW-71A4F,1
EQP-32451,846.6,Diesel,Manha,Leste,98.3,2.08,78.9,323,0,41.31,650013,FW-45B93,0
EQP-32452,11849.2,Eletrico,Manha,Leste,92.7,1.86,98.5,178,0,-68.34,756545,FW-23625,1
EQP-32453,11095.3,diesel,Noite,Oeste,79.3,12.23,93.5,236,0,0.59,821642,FW-8E7FA,1
EQP-32454,9140.2,Diesel,Manha,Leste,74.5,10.81,97.7,80,1,-8.97,842292,FW-78FCF,1
EQP-32455,13298.8, DIESEL ,Noite,Oeste,67.0,4.33,92.7,139,0,15.74,338593,FW-EAFDF,1
EQP-32456,11150.5,Hibrido,Tarde,Leste,70.3,8.2,114.8,64,1,-59.1,614616,FW-5FB58,1
EQP-32457,2185.3,Diesel,Manha,Leste,88.8,7.73,84.6,238,0,-12.93,576904,FW-8F5FF,1
EQP-32458,12065.0,diesel,Tarde,Leste,48.2,2.91,121.6,178,2,-29.3,927006,FW-77D43,1
EQP-32459,12296.5, DIESEL ,Manha,Sul,73.9,0.7,92.8,200,2,-21.18,598371,FW-7DFBB,1
EQP-32460,5022.9,Diesel,Manha,Norte,79.5,10.15,115.5,139,0,34.37,552935,FW-5A22F,0
EQP-32461,4449.1,Diesel,Manha,Oeste,79.5,0.7,106.0,251,0,11.92,472404,FW-54400,1
EQP-32462,6078.2,Diesel,Noite,Oeste,93.6,0.52,111.2,22,0,2.28,980650,FW-5CBFB,0
EQP-32463,2046.2,Diesel,Tarde,Sul,70.3,8.06,76.4,344,0,-16.95,471273,FW-E2B6B,1
EQP-32464,, DIESEL ,Tarde,Norte,61.5,2.81,120.0,166,0,63.42,903344,FW-F146C,1
EQP-32465,12125.2,Hibrido,Manha,Norte,84.4,1.61,104.8,39,0,-62.93,844568,FW-BE493,1
EQP-32466,9711.6,Diesel,Noite,Norte,64.5,2.11,92.3,29,0,-25.0,420296,FW-ABE3E,0
EQP-32467,4040.4,Eletrico,Tarde,Sul,81.4,1.21,100.6,318,0,-13.28,402025,FW-57C96,1
EQP-32468,10937.8,Diesel,Manha,Norte,73.1,1.31,86.2,227,0,23.14,861738,FW-DFEEB,1
EQP-32469,3589.0,Diesel,Tarde,Norte,91.5,9.51,119.4,341,1,-3.23,601944,FW-23125,1
EQP-32470,11279.2,Diesel,Noite,Norte,89.4,1.55,89.6,186,3,2.16,455141,FW-DF89D,1
EQP-32471,14635.2,Diesel,Tarde,Leste,62.0,1.56,106.6,44,1,-55.14,734860,FW-C4FF1,1
EQP-32472,9518.0,Diesel,Noite,Leste,39.6,1.74,88.1,193,1,-18.34,471714,FW-23382,0
EQP-32473,5954.2, DIESEL ,Manha,Norte,44.5,0.69,81.2,66,2,1.91,724990,FW-C309B,0
EQP-32474,14279.7,Diesel,Noite,Leste,33.2,5.69,80.7,225,0,4.72,254648,FW-3844C,1
EQP-32475,6684.9,Diesel,Tarde,Leste,120.6,12.87,110.0,216,1,-10.22,571051,FW-AED34,1
EQP-32476,6391.4,Gas_Natural,Manha,Sul,90.0,2.31,89.8,70,1,72.99,706263,FW-87A79,1
EQP-32477,1517.8,Hibrido,Manha,Norte,24.4,2.61,106.8,128,1,-28.23,800462,FW-2F5F8,0
EQP-32478,9980.0,Diesel,Tarde,Sul,109.2,0.54,92.8,89,1,-63.7,775521,FW-E31C2,1
EQP-32479,11195.0,Hibrido,Manha,Norte,32.6,6.98,93.8,281,0,36.57,122860,FW-236A1,0
EQP-32480,4835.4,Eletrico,Noite,Leste,46.7,2.0,91.0,58,1,26.52,507473,FW-3FC63,0
EQP-32481,6042.2,Diesel,Tarde,Sul,57.6,,115.6,362,1,-21.22,481634,FW-75642,1
EQP-32482,3056.0,Eletrico,Manha,Sul,77.0,0.71,101.5,116,0,25.43,740470,FW-7863B,0
EQP-32483,4524.4,Gas_Natural,Manha,Sul,56.3,20.19,87.6,183,2,26.29,113438,FW-765CA,1
EQP-32484,2676.7, DIESEL ,Manha,Norte,90.6,13.05,95.2,160,0,58.56,197068,FW-4BFE0,1
EQP-32485,4162.1,Eletrico,Manha,Norte,52.4,1.1,106.0,109,1,15.61,784260,FW-612E2,1
EQP-32486,10772.3,diesel,Tarde,Leste,70.7,6.27,87.3,286,1,30.19,211060,FW-EB427,1
EQP-32487,8149.6,Hibrido,Noite,Sul,47.2,1.65,87.0,262,1,-19.03,919056,FW-EB9F4,1
EQP-32488,12356.5, DIESEL ,Tarde,Norte,99.0,4.27,87.7,43,0,8.99,866466,FW-2C317,1
EQP-32489,6507.9,Diesel,Manha,Norte,63.0,7.92,97.3,79,1,-8.36,985496,FW-515F6,1
EQP-32490,14247.4,Diesel,Manha,Sul,65.2,5.73,99.1,95,0,-18.22,972622,FW-E8EA4,1
EQP-32491,932.6,Diesel,Noite,Sul,112.9,1.9,81.5,16,0,60.29,984185,FW-417B3,0
EQP-32492,661.2,Diesel,Tarde,Norte,69.0,1.16,104.8,190,1,-47.9,677091,FW-96C6E,0
EQP-32493,5568.9,Diesel,Manha,Sul,43.3,2.21,110.8,171,1,74.49,896344,FW-82C22,0
EQP-32494,1977.0,Eletrico,Noite,Oeste,61.9,,113.8,352,1,3.99,739880,FW-E0F49,1
EQP-32495,9033.1,Diesel,Tarde,Leste,104.3,0.95,95.7,32,1,0.74,959309,FW-620FB,1
EQP-32496,10365.3, DIESEL ,Manha,Sul,106.8,2.9,110.0,345,1,61.73,109490,FW-C53E7,1
EQP-32497,8009.4,Diesel,Noite,Oeste,61.9,3.1,101.2,262,2,3.12,877718,FW-C1E9D,1
EQP-32498,11623.5, DIESEL ,Tarde,Norte,89.4,,97.5,121,2,-4.65,737527,FW-A61DC,1
EQP-32499,7306.8,Diesel,Manha,Norte,37.9,1.07,104.3,7,1,17.39,571870,FW-C1074,0
EQP-32500,12554.9, DIESEL ,Noite,Sul,60.8,2.88,125.5,335,0,-15.83,488261,FW-ED435,1
EQP-32501,13049.6,Diesel,Tarde,Norte,63.7,5.48,102.8,363,4,38.18,696632,FW-E41EC,1
EQP-32502,1260.2,Diesel,Noite,Sul,31.3,4.0,118.1,12,0,-20.94,870646,FW-AA58D,1
EQP-32503,12843.0,Hibrido,Manha,Oeste,65.7,,110.4,358,1,-4.8,213669,FW-719D8,1
EQP-32504,11349.5, DIESEL ,Manha,Leste,86.2,,110.5,49,2,-7.58,789360,FW-966EC,1
EQP-32505,2785.9, DIESEL ,Noite,Leste,55.2,0.97,95.2,341,0,-20.66,921388,FW-5A030,0
EQP-32506,14243.1,diesel,Noite,Leste,75.9,,105.6,133,0,10.64,945194,FW-E75CE,1
EQP-32507,975.1,diesel,Noite,Oeste,69.3,7.76,92.8,165,1,-23.64,516374,FW-2F64B,1
EQP-32508,649.5,Diesel,Manha,Oeste,38.7,2.74,102.5,27,0,-6.77,747115,FW-720B7,0
EQP-32509,3773.2,Eletrico,Manha,Leste,80.8,10.2,64.2,112,1,-44.77,754154,FW-EFEE9,1
EQP-32510,14375.9,Diesel,Noite,Oeste,113.5,13.57,113.4,60,2,-30.75,811794,FW-7F217,1
EQP-32511,1889.2,Diesel,Manha,Norte,103.0,9.69,85.6,259,1,27.63,905541,FW-A0EF3,1
EQP-32512,6518.3,diesel,Noite,Oeste,106.1,0.71,101.7,343,2,-80.45,443336,FW-C0425,1
EQP-32513,7344.8,Gas_Natural,Manha,Norte,61.4,14.34,95.6,231,1,-12.48,614126,FW-5EE54,1
EQP-32514,14640.2,Diesel,Tarde,Norte,54.4,4.24,72.3,118,1,52.99,572584,FW-685F4,1
EQP-32515,6266.7, DIESEL ,Manha,Sul,75.8,3.09,99.3,266,0,9.4,610328,FW-747FB,1
EQP-32516,13123.3, DIESEL ,Tarde,Oeste,76.7,1.68,76.9,363,1,-23.75,349237,FW-2850B,1
EQP-32517,11272.9,Gas_Natural,Tarde,Leste,96.6,1.87,88.5,360,3,-5.87,405524,FW-252FF,1
EQP-32518,4502.4, DIESEL ,Manha,Oeste,71.3,6.55,94.5,297,0,-15.7,603565,FW-89320,1
EQP-32519,9908.5,Hibrido,Tarde,Oeste,52.9,5.99,111.5,162,2,-52.38,606736,FW-61D83,1
EQP-32520,7286.0,Hibrido,Tarde,Norte,94.9,7.18,72.6,107,2,-51.54,726450,FW-89085,1
EQP-32521,10931.0,diesel,Tarde,Leste,35.1,3.81,124.2,124,0,-35.67,610379,FW-E4D04,1
EQP-32522,1458.2,Gas_Natural,Noite,Sul,49.6,1.93,112.8,288,3,-29.57,209968,FW-3EABD,0
EQP-32523,14978.2,Diesel,Manha,Leste,89.5,7.74,88.3,171,1,-29.86,395310,FW-2AB7E,1
EQP-32524,,Hibrido,Manha,Norte,70.0,2.56,106.5,238,0,-55.8,237024,FW-2714B,1
EQP-32525,13053.0,diesel,Manha,Sul,40.5,8.46,102.0,288,0,-39.23,333086,FW-B35F7,1
EQP-32526,11877.6, DIESEL ,Noite,Sul,66.2,4.27,86.7,79,5,-12.15,974072,FW-4B684,1
EQP-32527,10526.2,Gas_Natural,Manha,Norte,71.7,13.32,88.5,317,1,37.25,814503,FW-A82E2,1
EQP-32528,9438.2,Eletrico,Manha,Norte,61.2,0.78,65.9,98,0,-28.77,214927,FW-CE023,0
EQP-32529,3324.9,Diesel,Manha,Norte,70.2,1.94,92.5,251,0,39.99,705539,FW-6C673,0
EQP-32530,5843.5,Diesel,Tarde,Norte,81.0,4.08,104.3,314,0,-22.06,697302,FW-DC360,1
EQP-32531,651.0,Eletrico,Tarde,Sul,81.2,16.92,78.5,194,2,-56.02,672860,FW-B7ECF,1
EQP-32532,2475.3,Hibrido,Tarde,Sul,79.7,3.51,100.4,344,1,27.26,429068,FW-B7C8E,1
