Production_Line,Product,Energy_Consumption,Machine_Efficiency,Downtime,Maintenance_Cost,Production_Count,Defect_Rate,Revenue
Linha_Gamma,Painel_B2,400.8,76.4,12.2,746.84,928,7.24,20886.11
Linha_Delta,Sensor_A1,415.88,89.1,5.0,492.72,1601,0.58,45811.58
Linha_Alpha,Sensor_A1,351.38,82.4,0.4,234.75,2091,5.59,59360.54
Linha_Alpha,Painel_B2,333.79,74.3,14.7,832.11,1603,3.65,51285.63
Linha_Gamma,Sensor_A1,319.66,84.1,4.4,400.84,1829,2.89,42484.14
Linha_Gamma,Sensor_A1,386.61,70.5,16.6,927.29,557,5.76,8724.33
Linha_Delta,Sensor_A1,326.94,91.6,20.6,1089.56,2053,7.18,38641.5
Linha_Gamma,Painel_B2,341.57,72.2,37.1,1834.27,1731,4.97,60439.01
Linha_Alpha,Conector_C3,374.59,88.6,47.6,2337.58,2034,0.75,29544.9
Linha_Beta,Módulo_D4,320.33,93.4,0.2,231.63,1658,4.19,67237.85
Linha_Beta,Módulo_D4,396.98,73.9,69.6,3364.05,2367,4.2,81450.1
Linha_Delta,Painel_B2,349.2,85.3,17.2,936.66,1493,4.85,55860.94
Linha_Gamma,Módulo_D4,282.13,93.0,15.5,888.4,1021,5.87,40032.8
Linha_Delta,Painel_B2,319.85,77.7,0.2,223.6,1080,0.65,19952.22
Linha_Beta,Painel_B2,408.87,74.8,29.6,1536.56,2376,4.52,92727.75
Linha_Beta,Módulo_D4,307.83,79.9,2.4,328.84,1398,5.21,41805.86
Linha_Gamma,Sensor_A1,390.23,86.4,27.2,1410.96,1606,3.25,65343.58
Linha_Alpha,Conector_C3,355.48,87.0,0.2,247.19,1120,5.85,46342.12
Linha_Gamma,Módulo_D4,342.27,73.9,15.6,901.87,1567,2.33,23739.74
Linha_Beta,Módulo_D4,463.07,83.5,8.6,609.73,2006,3.04,52521.1
Linha_Alpha,Módulo_D4,292.21,77.9,3.4,341.58,1465,8.2,44768.65
Linha_Delta,Módulo_D4,316.69,94.8,1.7,278.25,1409,3.28,49531.03
Linha_Beta,Painel_B2,348.95,79.3,8.7,543.62,2167,3.27,50566.35
Linha_Delta,Painel_B2,458.71,94.7,2.0,264.9,992,5.27,22118.85
Linha_Alpha,Conector_C3,349.05,82.6,10.0,643.78,998,8.27,25741.32
Linha_Delta,Conector_C3,362.34,91.4,14.7,864.5,1541,8.36,45408.9
Linha_Beta,Módulo_D4,334.89,85.0,26.4,1468.44,1104,5.14,46593.52
Linha_Gamma,Módulo_D4,366.14,88.3,17.0,953.54,1447,0.51,53834.59
Linha_Delta,Módulo_D4,337.68,81.7,1.0,203.7,793,7.71,21904.85
Linha_Beta,Conector_C3,381.29,92.7,5.5,498.57,2499,5.06,41062.26
Linha_Beta,Módulo_D4,384.84,82.5,5.1,461.87,1671,3.43,33051.07
Linha_Alpha,Sensor_A1,339.47,83.5,37.0,1830.3,1995,7.13,55381.78
Linha_Beta,Conector_C3,299.35,85.3,30.3,1577.46,671,3.7,24869.86
Linha_Gamma,Sensor_A1,354.21,94.5,6.9,535.56,2086,0.77,54578.37
Linha_Gamma,Módulo_D4,413.1,89.5,1.1,254.41,1030,7.07,31835.14
Linha_Delta,Painel_B2,312.8,80.3,33.7,1726.27,1643,4.87,66875.79
Linha_Delta,Sensor_A1,365.03,89.8,32.9,1661.53,2359,3.21,98392.83
Linha_Delta,Conector_C3,295.74,89.0,28.9,1515.61,2260,2.51,47013.93
Linha_Delta,Sensor_A1,303.21,97.5,28.0,1445.26,565,5.25,7768.67
Linha_Gamma,Conector_C3,408.52,94.8,9.8,561.64,640,2.16,14902.24
Linha_Alpha,Módulo_D4,381.12,89.1,2.9,336.39,945,3.09,33564.61
Linha_Delta,Sensor_A1,365.7,80.1,9.7,586.22,2029,5.59,87742.98
Linha_Alpha,Painel_B2,245.52,93.0,10.2,689.4,688,7.55,11220.54
Linha_Beta,Sensor_A1,325.12,87.0,10.1,620.58,657,4.76,9795.84
Linha_Beta,Painel_B2,377.31,99.1,11.6,648.41,2133,6.57,87923.17
Linha_Delta,Conector_C3,284.79,77.3,4.5,349.42,1169,6.6,43423.03
Linha_Beta,Módulo_D4,334.08,72.3,6.8,504.76,2470,5.81,110070.86
Linha_Alpha,Módulo_D4,384.5,72.1,8.5,588.1,745,2.47,19455.22
Linha_Alpha,Painel_B2,282.0,88.9,2.1,252.12,1355,7.43,36985.35
Linha_Beta,Conector_C3,274.43,97.7,9.1,577.33,1443,3.99,28527.05
Linha_Delta,Módulo_D4,282.78,70.1,24.9,1320.26,1247,0.85,21718.58
Linha_Alpha,Conector_C3,365.05,91.4,26.4,1417.17,1556,2.46,48937.39
Linha_Alpha,Painel_B2,324.94,89.4,8.0,523.7,1884,6.62,48325.69
Linha_Gamma,Painel_B2,389.51,91.6,11.0,706.38,2276,1.05,38917.63
Linha_Delta,Sensor_A1,355.45,80.5,0.5,170.34,829,1.68,34324.03
Linha_Gamma,Módulo_D4,434.62,94.2,16.8,965.48,1011,6.05,20215.67
Linha_Beta,Módulo_D4,294.31,71.3,7.8,573.67,1349,7.64,49956.54
Linha_Beta,Sensor_A1,364.93,92.3,8.8,611.73,2310,5.57,53596.71
Linha_Gamma,Painel_B2,314.22,77.9,31.0,1624.83,1594,2.28,61158.28
Linha_Delta,Painel_B2,377.01,84.1,9.3,646.33,1836,0.93,33414.97
Linha_Alpha,Painel_B2,355.4,94.3,0.3,268.91,2438,5.42,91600.17
Linha_Beta,Painel_B2,305.31,78.0,3.9,378.76,2251,0.88,40012.21
Linha_Delta,Conector_C3,342.93,75.5,9.7,692.0,578,5.4,15727.52
Linha_Delta,Módulo_D4,353.29,90.1,8.3,545.18,668,2.3,24184.27
Linha_Beta,Módulo_D4,323.03,85.7,29.5,1521.34,1309,7.74,24915.95
Linha_Beta,Painel_B2,382.72,85.2,11.7,723.05,1482,4.3,34207.62
Linha_Delta,Painel_B2,303.6,77.6,17.6,960.72,679,2.29,26839.58
Linha_Alpha,Painel_B2,444.1,71.0,9.5,556.68,2151,7.33,88825.07
Linha_Gamma,Módulo_D4,392.92,82.1,8.7,617.58,759,2.53,11790.6
Linha_Beta,Módulo_D4,365.69,73.1,8.9,572.6,2009,2.95,39693.22
Linha_Gamma,Painel_B2,478.04,96.7,7.9,543.48,2295,7.17,41969.46
Linha_Delta,Conector_C3,336.08,71.2,11.6,769.54,1528,2.97,30387.59
Linha_Gamma,Sensor_A1,377.51,82.7,4.3,410.66,796,3.78,34697.42
Linha_Alpha,Sensor_A1,360.02,71.5,33.3,1750.71,1119,3.28,33553.36
Linha_Delta,Sensor_A1,385.89,72.8,6.1,478.12,1354,1.43,38846.61
Linha_Alpha,Módulo_D4,417.33,89.4,2.4,324.66,859,0.81,37930.06
Linha_Delta,Módulo_D4,374.7,89.1,1.5,260.28,616,6.3,19272.27
Linha_Alpha,Sensor_A1,396.88,71.0,0.2,183.54,856,5.66,29633.97
Linha_Delta,Sensor_A1,325.23,70.0,8.2,585.55,1456,2.76,35789.87
Linha_Alpha,Conector_C3,340.72,72.3,3.1,326.42,2366,2.86,62286.09
Linha_Delta,Módulo_D4,423.72,92.5,0.3,232.84,938,8.06,30563.84
Linha_Alpha,Módulo_D4,376.86,87.2,11.0,677.89,1854,8.4,31013.6
Linha_Delta,Sensor_A1,361.17,71.1,17.1,964.24,2048,4.29,45477.2
Linha_Alpha,Conector_C3,316.1,84.4,1.3,255.64,2177,6.92,45253.14
Linha_Beta,Conector_C3,393.5,91.0,9.3,650.81,1711,6.39,25830.0
Linha_Gamma,Sensor_A1,314.83,95.6,20.4,1105.27,2491,2.88,76382.36
