data_venda,id_pedido,categoria_produto,valor_venda_rs,canal_venda,tempo_entrega_dias,avaliacao_cliente
2027-03-06,PED-10430,Informática,782.01,App Mobile,3,3
2027-03-07,PED-10431,Eletrônicos,281.45,Website,7,4
2027-03-08,PED-10432,Eletrônicos,139.2,App Mobile,6,5
2027-03-09,PED-10433,Informática,261.16,Loja Parceira,11,3
2027-03-10,PED-10434,Eletrônicos,123.49,App Mobile,3,2
2027-03-11,PED-10435,Eletrônicos,631.5,Website,9,2
2027-03-12,PED-10436,Eletrodomésticos,540.83,Website,12,5
2027-03-13,PED-10437,Móveis,234.24,App Mobile,1,4
2027-03-14,PED-10438,Móveis,128.19,App Mobile,10,3
2027-03-15,PED-10439,Móveis,116.82,Loja Parceira,3,4
2027-03-16,PED-10440,Moda,38.5,Website,11,4
2027-03-17,PED-10441,Eletrodomésticos,452.96,App Mobile,10,4
2027-03-18,PED-10442,Móveis,179.63,Website,11,5
2027-03-19,PED-10443,Móveis,128.31,Website,7,4
2027-03-20,PED-10444,Eletrodomésticos,189.24,App Mobile,3,4
2027-03-21,PED-10445,Eletrônicos,456.95,App Mobile,14,2
2027-03-22,PED-10446,Móveis,63.27,Loja Parceira,3,2
2027-03-23,PED-10447,Eletrônicos,517.38,Website,2,4
2027-03-24,PED-10448,Móveis,599.49,Website,9,4
2027-03-25,PED-10449,Informática,762.99,Website,11,4
2027-03-26,PED-10450,Moda,156.66,App Mobile,4,1
2027-03-27,PED-10451,Móveis,91.2,App Mobile,10,2
2027-03-28,PED-10452,Informática,146.96,App Mobile,13,5
2027-03-29,PED-10453,Eletrodomésticos,131.21,App Mobile,6,4
2027-03-30,PED-10454,Informática,78.44,Website,2,5
2027-03-31,PED-10455,Eletrodomésticos,263.66,Loja Parceira,9,5
2027-04-01,PED-10456,Móveis,191.86,App Mobile,7,4
2027-04-02,PED-10457,Eletrodomésticos,531.92,App Mobile,10,5
2027-04-03,PED-10458,Informática,38.16,Website,5,4
2027-04-04,PED-10459,Moda,288.11,Loja Parceira,7,3
2027-04-05,PED-10460,Eletrônicos,389.87,Website,14,4
2027-04-06,PED-10461,Eletrônicos,386.24,Loja Parceira,4,4
2027-04-07,PED-10462,Moda,573.05,Website,13,4
2027-04-08,PED-10463,Eletrônicos,356.44,Website,10,4
2027-04-09,PED-10464,Móveis,687.11,App Mobile,13,4
2027-04-10,PED-10465,Móveis,131.11,App Mobile,7,2
2027-04-11,PED-10466,Informática,204.9,App Mobile,2,2
2027-04-12,PED-10467,Informática,33.54,Website,7,1
2027-04-13,PED-10468,Eletrodomésticos,31.75,Loja Parceira,4,2
2027-04-14,PED-10469,Informática,98.65,Loja Parceira,4,4
2027-04-15,PED-10470,Móveis,56.56,App Mobile,1,4
2027-04-16,PED-10471,Informática,105.35,App Mobile,12,3
2027-04-17,PED-10472,Eletrônicos,78.71,App Mobile,3,5
2027-04-18,PED-10473,Eletrodomésticos,37.23,App Mobile,5,5
2027-04-19,PED-10474,Eletrodomésticos,630.06,Website,5,4
2027-04-20,PED-10475,Móveis,32.06,Loja Parceira,2,5
2027-04-21,PED-10476,Informática,363.03,Loja Parceira,4,4
2027-04-22,PED-10477,Eletrônicos,71.26,Website,1,1
2027-04-23,PED-10478,Informática,638.26,Website,9,5
2027-04-24,PED-10479,Moda,588.26,Website,1,2
2027-04-25,PED-10480,Informática,295.26,App Mobile,6,5
2027-04-26,PED-10481,Móveis,308.86,Website,7,4
2027-04-27,PED-10482,Informática,31.34,Website,3,4
2027-04-28,PED-10483,Eletrodomésticos,1077.79,Website,12,4
2027-04-29,PED-10484,Eletrônicos,555.59,App Mobile,1,4
2027-04-30,PED-10485,Móveis,593.7,App Mobile,7,1
2027-05-01,PED-10486,Moda,299.15,App Mobile,3,4
2027-05-02,PED-10487,Eletrônicos,135.7,Loja Parceira,13,5
2027-05-03,PED-10488,Eletrônicos,590.25,App Mobile,10,4
2027-05-04,PED-10489,Eletrodomésticos,116.16,Website,12,3
2027-05-05,PED-10490,Eletrodomésticos,236.79,Website,12,4
2027-05-06,PED-10491,Eletrodomésticos,56.27,App Mobile,6,5
2027-05-07,PED-10492,Móveis,667.62,Website,13,4
2027-05-08,PED-10493,Informática,67.93,Loja Parceira,12,4
2027-05-09,PED-10494,Eletrônicos,93.69,App Mobile,14,5
2027-05-10,PED-10495,Informática,234.19,Loja Parceira,6,4
2027-05-11,PED-10496,Informática,391.08,App Mobile,14,4
2027-05-12,PED-10497,Eletrodomésticos,271.47,App Mobile,12,5
2027-05-13,PED-10498,Informática,96.03,Loja Parceira,4,5
2027-05-14,PED-10499,Eletrônicos,30.24,Website,12,3
2027-05-15,PED-10500,Eletrônicos,383.83,Loja Parceira,11,3
2027-05-16,PED-10501,Moda,1083.41,Website,6,5
2027-05-17,PED-10502,Móveis,445.07,Loja Parceira,11,3
2027-05-18,PED-10503,Informática,184.14,Website,10,5
2027-05-19,PED-10504,Móveis,615.25,Website,4,2
2027-05-20,PED-10505,Móveis,161.84,Website,13,4
2027-05-21,PED-10506,Móveis,216.08,App Mobile,8,2
2027-05-22,PED-10507,Móveis,192.11,Loja Parceira,9,5
2027-05-23,PED-10508,Eletrônicos,178.38,App Mobile,2,5
2027-05-24,PED-10509,Informática,403.13,Website,7,4
2027-05-25,PED-10510,Moda,217.04,App Mobile,9,5
2027-05-26,PED-10511,Móveis,125.21,Website,9,2
2027-05-27,PED-10512,Moda,104.65,App Mobile,12,2
2027-05-28,PED-10513,Eletrônicos,39.62,App Mobile,5,5
2027-05-29,PED-10514,Eletrônicos,248.78,Loja Parceira,1,5
2027-05-30,PED-10515,Eletrodomésticos,95.33,App Mobile,6,5
2027-05-31,PED-10516,Móveis,70.08,Website,8,5
2027-06-01,PED-10517,Eletrodomésticos,295.21,App Mobile,1,4
2027-06-02,PED-10518,Moda,315.81,App Mobile,2,3
2027-06-03,PED-10519,Informática,378.74,App Mobile,13,5
2027-06-04,PED-10520,Eletrodomésticos,205.08,Website,13,4
2027-06-05,PED-10521,Eletrônicos,591.21,App Mobile,1,4
2027-06-06,PED-10522,Móveis,718.56,Loja Parceira,5,5
2027-06-07,PED-10523,Moda,441.75,App Mobile,2,3
2027-06-08,PED-10524,Eletrônicos,282.37,App Mobile,10,5
2027-06-09,PED-10525,Informática,120.5,App Mobile,10,2
2027-06-10,PED-10526,Móveis,1047.83,App Mobile,14,5
2027-06-11,PED-10527,Informática,110.1,Website,4,4
2027-06-12,PED-10528,Informática,86.62,Loja Parceira,1,4
2027-06-13,PED-10529,Móveis,175.92,Website,7,4
2027-06-14,PED-10530,Móveis,44.63,App Mobile,8,3
2027-06-15,PED-10531,Informática,989.86,App Mobile,5,4
2027-06-16,PED-10532,Moda,251.95,App Mobile,2,4
2027-06-17,PED-10533,Móveis,233.52,Loja Parceira,8,4
2027-06-18,PED-10534,Eletrônicos,296.63,App Mobile,1,3
2027-06-19,PED-10535,Eletrodomésticos,201.8,Website,7,2
2027-06-20,PED-10536,Moda,38.15,App Mobile,1,2
2027-06-21,PED-10537,Móveis,266.89,App Mobile,12,5
2027-06-22,PED-10538,Móveis,344.85,App Mobile,6,1
2027-06-23,PED-10539,Moda,164.78,App Mobile,13,5
2027-06-24,PED-10540,Eletrodomésticos,383.98,Website,6,5
2027-06-25,PED-10541,Informática,94.37,App Mobile,5,5
2027-06-26,PED-10542,Eletrônicos,92.52,Website,2,5
2027-06-27,PED-10543,Móveis,74.01,App Mobile,2,2
2027-06-28,PED-10544,Eletrodomésticos,146.3,Loja Parceira,9,5
2027-06-29,PED-10545,Eletrônicos,499.35,App Mobile,5,4
2027-06-30,PED-10546,Moda,469.94,Loja Parceira,5,5
2027-07-01,PED-10547,Móveis,150.65,Website,7,5
2027-07-02,PED-10548,Informática,252.36,Loja Parceira,6,1
2027-07-03,PED-10549,Moda,348.97,App Mobile,2,4
2027-07-04,PED-10550,Móveis,99.01,Website,11,4
2027-07-05,PED-10551,Eletrodomésticos,76.02,App Mobile,1,5
2027-07-06,PED-10552,Eletrônicos,924.75,App Mobile,5,3
2027-07-07,PED-10553,Eletrônicos,270.29,App Mobile,4,3
2027-07-08,PED-10554,Móveis,1026.36,App Mobile,12,4
2027-07-09,PED-10555,Moda,133.03,Loja Parceira,3,4
2027-07-10,PED-10556,Informática,333.53,App Mobile,2,5
2027-07-11,PED-10557,Eletrodomésticos,92.95,Website,10,5
2027-07-12,PED-10558,Móveis,105.68,Website,2,4
2027-07-13,PED-10559,Eletrodomésticos,209.31,Website,14,2
2027-07-14,PED-10560,Eletrônicos,126.28,Website,4,3
2027-07-15,PED-10561,Informática,75.87,App Mobile,2,4
2027-07-16,PED-10562,Eletrodomésticos,106.25,Website,4,5
2027-07-17,PED-10563,Móveis,39.1,App Mobile,3,4
2027-07-18,PED-10564,Informática,334.71,Loja Parceira,9,4
2027-07-19,PED-10565,Moda,199.38,Website,7,5
2027-07-20,PED-10566,Móveis,54.75,Loja Parceira,14,5
2027-07-21,PED-10567,Eletrodomésticos,77.09,App Mobile,13,3
2027-07-22,PED-10568,Informática,57.05,App Mobile,11,1
2027-07-23,PED-10569,Móveis,267.07,App Mobile,12,4
2027-07-24,PED-10570,Informática,54.74,App Mobile,3,5
2027-07-25,PED-10571,Informática,380.89,App Mobile,13,5
2027-07-26,PED-10572,Informática,35.18,Website,14,2
2027-07-27,PED-10573,Eletrodomésticos,101.71,App Mobile,8,1
2027-07-28,PED-10574,Móveis,583.34,Website,9,5
2027-07-29,PED-10575,Eletrônicos,346.93,Loja Parceira,13,5
2027-07-30,PED-10576,Eletrônicos,48.94,Website,7,5
2027-07-31,PED-10577,Eletrodomésticos,460.27,App Mobile,6,4
2027-08-01,PED-10578,Eletrodomésticos,199.83,App Mobile,4,4
2027-08-02,PED-10579,Informática,498.98,App Mobile,5,3
2027-08-03,PED-10580,Móveis,259.54,App Mobile,8,2
2027-08-04,PED-10581,Móveis,316.29,Website,3,4
2027-08-05,PED-10582,Moda,1289.05,App Mobile,2,4
2027-08-06,PED-10583,Moda,96.1,Loja Parceira,3,2
2027-08-07,PED-10584,Eletrônicos,274.51,Website,12,5
2027-08-08,PED-10585,Moda,184.2,Website,7,3
2027-08-09,PED-10586,Moda,40.06,App Mobile,8,5
2027-08-10,PED-10587,Eletrônicos,33.64,App Mobile,1,3
2027-08-11,PED-10588,Eletrônicos,61.74,Website,13,5
2027-08-12,PED-10589,Moda,291.81,App Mobile,7,2
2027-08-13,PED-10590,Móveis,239.35,App Mobile,9,5
2027-08-14,PED-10591,Moda,231.54,App Mobile,12,2
2027-08-15,PED-10592,Informática,38.09,App Mobile,13,4
2027-08-16,PED-10593,Informática,188.39,Website,14,5
2027-08-17,PED-10594,Informática,676.31,App Mobile,14,3
2027-08-18,PED-10595,Eletrodomésticos,156.71,Website,3,3
2027-08-19,PED-10596,Informática,275.16,App Mobile,3,5
2027-08-20,PED-10597,Móveis,408.33,Website,8,5
2027-08-21,PED-10598,Eletrodomésticos,413.03,Loja Parceira,4,1
2027-08-22,PED-10599,Eletrodomésticos,213.12,Loja Parceira,14,3
2027-08-23,PED-10600,Informática,517.9,App Mobile,8,2
